Scientific name,Common name,Conservation Plan_1,type of agreements (source of information),,Who the partners are,number of conservation agreements,total number of partners for species
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,,"Lower Colorado River Multi-Species Conservation Plan,  CCA",,"Anza-Borrego State Park, Arizona Game and Fish, California Department of Fish and Game, California State Parks, Ocotillo Wells, BLM, U.S. Bureau of Reclamation, USFWS, U.S. Marine Corps Air Station, U.S. Naval Air Facility, U.S. Navy SW Division, The Arizona Department of Water Resources, Arizona Electric Power Cooperative Inc., Arizona Game and Fish Commission, Arizona Power Authority, Central Arizona Water Conservation District, Cibola Valley Irrigation and Drainage District, City of Bullhead City, City of Lake Havasu City, City of Mesa, City of Somerton, City of Yuma, Electrical District No. 3 Pinal County Arizona, Golden Shores Water Conservation District, Mohave County Water Authority, Mohave Valley Irrigation and Drainage District, Mohave Water Conservation District, North Gila Valley Irrigation and Drainage District, Salt River Project Agricultural Improvement and Power District, Town of Fredonia, Town of Thatcher, Town of Wickenburg, Unit “B” Irrigation and Drainage District, Wellton-Mohawk Irrigation and Drainage District, Yuma County Water Users’ Association; Yuma Irrigation District, Yuma Mesa Irrigation and Drainage District, City of Needles, Coachella Valley Water District, Colorado River Board of California, Imperial Irrigation District, Los Angeles Department of Water and Power, Palo Verde Irrigation District, San Diego County Water Authority, Southern California Edison Company, the Southern California Public Power Authority, Bard Water District, Metropolitan Water District of Southern California, National Park Service (NPS), Bureau of Indian Affairs, Western Area Power Administration (Western), Colorado River Commission of Nevada, Nevada Department of Wildlife, Basic Water Company, Southern Nevada Water Authority",2,53
Ursus americanus floridanus,FLORIDA BLACK BEAR,,USDA Forest Service Land and Resource Management Plan for National Forests in Florida,,USFS,1,1
Boechera pusilla,FREMONT COUNTY ROCK CRESS,,Report,,"BLM, Wyoming Natural Diversity Database (WYNDD)",1,2
Dalea tentaculoides,GENTRY'S INDIGOBUSH,,Questions and Answers: Gentry Indigo Bush Not Warranted for Endangered Species Act Protection,,"USFWS, Tohono O’odham Nation",0,0
Symphyotrichum georgianum,GEORGIA ASTER,,CCA,,"USFWS, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, National Park Service, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, USFS ",1,9
Astragalus anserinus,GOOSE CREEK MILKVETCH,,Conservation Agreement,,"BLM,  FWS",1,2
Penstemon grahamii,GRAHAM BEARDTONGUE,,CCA,,"Uintah County, Rio Blanco County, Utah School and Institutional Trust Lands Administration, Utah Governor’s Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, FWS",1,8
Pseudanophthalmus pholeter,GREATER ADAMS CAVE BEETLE,,CCAA,,"Southern conservation corporation,  USFWS",1,2
Centrocercus urophasianus,GREATER SAGE-GROUSE - BI-STATE POPULATION,HCP/CCA,None,,,0,0
Centrocercus urophasianus,GREATER SAGE-GROUSE - Columbia basin DPS,CCA/HCP,None,,,0,0
