"","Scientific name","Common name","Conservation Plan_1","notes_all_cleaning specific","number of conservation agreements","total number of partners for species","type of agreements (source of information)","""in cooperation"" (included in total unless stated otherwise) or other vague terms","List agency office (if given)","unspecified additional landowners","If distinction between species specific partners and total agreement partners, list total agreement partners here","note redundancy","Who the partners are"
"21","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD",NA,NA,2,8,"CCAA,  CCAA","(not inclded in total count because not specified) - The CCA is a voluntary agreement, administered by CEHMM, with Participating Cooperators. Certificates of Participation (CPs) will be issued by CEHMM pursuant to this CCA in order to facilitate the voluntary cooperation of the oil and gas industry, livestock producers, and other interested stakeholders, thereby providing conservation benefits to the LPC and/or the SDL.","U.S. Fish and Wildlife Service – Southwest Region",NA,NA,"USFWS","private landowners of Cow Head Lake, private landowners of Cow Head Slough, private landowners of the California reach of Barrel Creek, California and Modoc County Cattlemenâ€™s Associations, California Farm Bureau Federation, BLM, California Department of Fish and Game"
"22","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT",NA,NA,1,1,"CCA",NA,"California department of Fish and Wildlife – Northern region, USDA Forest service – Pacific Southwest region, Eagle Lake Ranger District – Lassen national Forest, USFWS – Sacramento Fish and Wildlife Office",NA,NA,NA,"California Department of Fish and Wildlife, USFS, Eagle Lake Ranger District, USFWS"
"23","Pyrgulopsis notidicola","ELONGATE MUD MEADOW SPRINGSNAIL",NA,NA,1,21,"Conservation Plan",NA,NA,NA,NA,NA,"Nevada Department of Wildlife, National Park Service (NPS) , BLM, USFWS, Nevada Natural Heritage Program (NNHP), The Nature Conservancy, and Desert Research Institute (DRI)."
"24","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD",NA,NA,2,18,"Lower Colorado River Multi-Species Conservation Plan,  CCA",NA,"U.S. Bureau of Land Management, El Centro, U.S. Bureau of Land Management, Palm Springs, U.S. Bureau of Land Management- Yuma, U.S. Bureau of Reclamation – Yuma, U.S. Fish and Wildlife Service- Carlsbad, U.S. Fish and Wildlife Service- Phoenix, U.S. Marine Corps Air Station- Yuma, U.S. Naval Air Facility- El Centro, U.S. Navy SW Division- San Diego (have left area specific parts of agencies for BLM and FWS offices in text)","Any person or entity added as a Third Party Authorized to Take pursuant to section 16 of this Agreement",NA,"BLM and USFWS (see offices)","USFWS, BLM, Center of Excellence for Hazardous Materials Management, Natural Resources Conservation Service, Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System - University Lands, Texas Farm Bureau, Texas Oil and Gas Association, Texas Royalty Council, Texas and Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business"
"25","Ursus americanus floridanus","FLORIDA BLACK BEAR",NA,NA,1,4,"USDA Forest Service Land and Resource Management Plan for National Forests in Florida",NA,NA,NA,NA,NA,"USFS"
"26","Boechera pusilla","FREMONT COUNTY ROCK CRESS",NA,NA,1,7,"Report",NA,NA,NA,NA,NA,"Nevada Department of Wildlife, NPS, BLM, USFWS, Nevada Natural Heritage Program, The Nature Conservancy, Desert Research Institute"
"27","Dalea tentaculoides","GENTRY'S INDIGOBUSH",NA,NA,0,53,"None",NA,NA,NA,NA,NA,"Anza-Borrego State Park, Arizona Game and Fish Department, California Department of Fish and Game, California State Parks, Ocotillo Wells, BLM, U.S. Bureau of Reclamation, USFWS, U.S. Marine Corps Air Station, U.S. Naval Air Facility, U.S. Navy SW Division, The Arizona Department of Water Resources, Arizona Electric Power Cooperative Inc., Arizona Game and Fish Commission, Arizona Power Authority, Central Arizona Water Conservation District, Cibola Valley Irrigation and Drainage District, City of Bullhead City, City of Lake Havasu City, City of Mesa, City of Somerton, City of Yuma, Electrical District No. 3 Pinal County Arizona, Golden Shores Water Conservation District, Mohave County Water Authority, Mohave Valley Irrigation and Drainage District, Mohave Water Conservation District, North Gila Valley Irrigation and Drainage District, Salt River Project Agricultural Improvement and Power District, Town of Fredonia, Town of Thatcher, Town of Wickenburg, Unit â€šÃ„ÃºBâ€šÃ„Ã¹ Irrigation and Drainage District, Wellton-Mohawk Irrigation and Drainage District, Yuma County Water Usersâ€šÃ„Ã´ Association; Yuma Irrigation District, Yuma Mesa Irrigation and Drainage District, City of Needles, Coachella Valley Water District, Colorado River Board of California, Imperial Irrigation District, Los Angeles Department of Water and Power, Palo Verde Irrigation District, San Diego County Water Authority, Southern California Edison Company, the Southern California Public Power Authority, Bard Water District, Metropolitan Water District of Southern California, NPS, Bureau of Indian Affairs, Western Area Power Administration (Western), Colorado River Commission of Nevada, Nevada Department of Wildlife, Basic Water Company, Southern Nevada Water Authority"
"28","Symphyotrichum georgianum","GEORGIA ASTER",NA,"Cooperators not counted in this case",1,1,"CCA","Cooperators to the Agreement: · Alabama, Georgia, North Carolina and South Carolina Natural Heritage Programs · Atlanta Botanical Garden · North Carolina Botanical Garden · State Botanical Garden of Georgia · The Citadel · The Nature Conservancy · Army Corps of Engineers",NA,NA,NA,NA,"USFWS, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, National Park Service, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, USFS"
"29","Astragalus anserinus","GOOSE CREEK MILKVETCH",NA,NA,1,2,"Conservation Agreement",NA,NA,NA,NA,NA,"BLM, Wyoming Natural Diversity Database"
"30","Penstemon grahamii","GRAHAM BEARDTONGUE",NA,NA,1,0,"CCA",NA,"and the BLM in Utah and Colorado",NA,NA,NA,"Uintah County, Rio Blanco County, Utah School and Institutional Trust Lands Administration, Utah Governor’s Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, FWS"
