"","Scientific name","Common name","Conservation Plan_1","notes_all_cleaning specific","number of conservation agreements","total number of partners for species","type of agreements (source of information)","""in cooperation"" (included in total unless stated otherwise) or other vague terms","List agency office (if given)","unspecified additional landowners","If distinction between species specific partners and total agreement partners, list total agreement partners here","note redundancy","Who the partners are"
"74","Calochortus umpquaensis","UMPQUA MARIPOSA LILY","CCA",NA,1,0,"Conservation Agreement",NA,NA,NA,NA,NA,"BLM, USFWS"
"75","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","CCA","uncertain about count",1,0,"CCA","possibly",NA,"possibly (bottom paragraph of page 8 indicates that there could be additional collaboration)",NA,NA,"USFWS,  Montana State University,  Montana Fish Wildlife & Parks"
"76","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","HCP","uncertain about count",2,0,"HCP,  CCAA","likely -  in cooperation with the South Douglas Conservation District and involving agricultural landowners and other stakeholders",NA,"likely","Oregon Department of Fish and Wildlife AND TNC Portland",NA,"Foster Creek Conservation District (FCCD), Threemile Canyon Farms, The Nature Conservancy,  General Electric, USFWS"
"77","Polemonium pectinatum","WASHINGTON JACOB'S-LADDER","CCA","Minor threats were reduced by a conservation agreement aimed at reducing the populations of noxious weeds. Thus, the species was removed from candidate status.",0,26,"None",NA,NA,NA,NA,NA,"California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation, California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Ownersâ€™ Association, Tahoe Regional Planning Agency, USFWS, USFS, California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation, California Tahoe Conservancy, League to Save Lake Tahoe"
"78","Nysius wekiuicola","WEKIU BUG","None","Management of the Mauna Kea summit area by the Office of Mauna Kea Management includes continued monitoring of the wekiu bug and its habitat, and scientific studies to assist in managing and protecting wekiu bug populations and habitat. The 2000 Mauna Kea Science Reserve Management Plan, the Mauna Kea Comprehensive Management Plan, the four sub-plans and a procedure for formal review of new projects on Mauna Kea all contributed to the protection and conservation of the wekiu bug and led to a determination that this speicies no longer warranted listing. Not warranted 12-month finding/candidate removal.",0,0,NA,NA,NA,NA,NA,NA,NA
"79","Delphinium viridescens","WENATCHEE LARKSPUR","None","Conservation efforts by U.S. Forest Service and WA Dept. of Natural Resources have reduced threats to the species resulting in removal from candidate status.",0,0,NA,NA,NA,NA,NA,NA,NA
"80","Sonorella macrophallus","WET CANYON TALUSSNAIL",NA,NA,1,2,"Conservation Assessment",NA,NA,NA,"USDA Forest Service Coronado National Forest Safford Ranger District, U. S. Fish and Wildlife Service Arizona Ecological Services Field Office, Arizona Game and Fish Department Nongame and Endangered Wildlife Program",NA,"USDA, USFWS, BLM"
"81","Penstemon scariosus albifluvis","WHITE RIVER BEARDTONGUE",NA,NA,1,4,"Conservation Agreement",NA,NA,NA,"BLM in Utah and Colorado",NA,"USFWS,  Montana State University,  Montana Fish Wildlife and Parks"
"82","Aliciella caespitosa","WONDERLAND ALICE-FLOWER",NA,NA,1,7,"CCA",NA,NA,NA,"Fishlake National Forest, NPS info, USFWS info",NA,"Foster Creek Conservation District, Threemile Canyon Farms, The Nature Conservancy,  General Electric, USFWS"
"83","Synthliboramphus hypoleucus","XANTUS'S MURRELET",NA,NA,0,0,"None",NA,NA,NA,NA,NA,NA
"84","Solidago plumosa","YADKIN RIVER GOLDENROD","CCA","Speces removed due to conservation efforts included in a CCA with Alcoa Power.  Not warranted 12-month finding/candidate removal.",1,0,"CCA","Cooperators: North Carolina Plant Conservation Program (“NCPCP”)",NA,NA,NA,NA,"Alcoa Power Generating Inc, USFWS"
"85",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"USFS,  USFWS,  Arizona Game and Fish Department"
"87",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"Uintah County, Rio Blanco County,  Utah School and Institutional Trust Lands Administration, Utah Governorâ€™s Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS"
"88",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"USFS, NPS,  Utah State Office , USFWS, BLM"
"89",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
