"","Scientific.name","agreement.number","partner.in.agreement","X1..Land.Water.Management","X2..Species.Management","X3..Awareness.raising","X4..law.enforcement.and.prosecution","X5..livelihood..economic.and.moral.incentrives","X6..Conservation.Design.and.Planning","X7..Legal.and.Policy.frameworks","X8..Research.and.monitoring","X9..Education.and.Training","X10..Institutional.Development","funding","Common.name","type_of_org"
"58","Nerodia erythrogaster neglecta","doc 1 website","Kentucky Department of Fish and Wildlife Resources",1,0,0,1,0,1,1,0,1,0,0,"COPPERBELLY WATER SNAKE","SW"
"59","Nerodia erythrogaster neglecta","doc 1 website","Kentucky Farm Bureau",1,0,1,0,0,1,0,0,0,0,0,"COPPERBELLY WATER SNAKE","N"
"60","Nerodia erythrogaster neglecta","doc 1 website","USFWS",1,0,0,1,0,1,1,0,1,0,0,"COPPERBELLY WATER SNAKE","USFWS"
"61","Nerodia erythrogaster neglecta","doc 1 website","Western Kentucky Coal Association",1,0,1,0,0,1,0,0,0,0,0,"COPPERBELLY WATER SNAKE","N"
"62","Oncorhynchus clarkii virginalis","doc 1 CCAA","New Mexico Department of Game and Fish",1,0,0,0,0,0,0,1,0,1,0,"RIO GRANDE CUTTHROAT TROUT","SW"
"63","Oncorhynchus clarkii virginalis","doc 1 CCAA","USFWS Albuquerque New Mexico Ecological Services Field Office",1,0,0,0,0,0,0,0,0,1,0,"RIO GRANDE CUTTHROAT TROUT","USFWS"
"64","Oncorhynchus clarkii virginalis","doc 1 CCAA","Vermejo Park Ranch",1,1,0,0,0,0,0,0,0,1,0,"RIO GRANDE CUTTHROAT TROUT","P"
"65","Oncorhynchus mykiss aquilarum","doc 1A Lassen County","California Department of Fish and Wildlife",1,1,1,0,0,0,0,1,0,0,0,"EAGLE LAKE TROUT ","SW"
"66","Oncorhynchus mykiss aquilarum","doc 1A Lassen County","USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest",1,1,1,0,0,0,0,1,0,0,0,"EAGLE LAKE TROUT ","USFS"
"67","Oncorhynchus mykiss aquilarum","doc 1A Lassen County","USFWS Pacific Southwest Region Sacramento Office",0,0,1,0,0,0,0,0,0,0,0,"EAGLE LAKE TROUT ","USFWS"
"68","Oncorhynchus mykiss ssp.","doc 1 CCA","Bob McIntsh (Private landowner)",0,0,0,0,0,0,0,0,0,0,0,"MCCLOUD RIVER REDBAND TROUT","P"
"69","Oncorhynchus mykiss ssp.","doc 1 CCA","Califonia Department of Fish and Game",0,0,0,0,0,1,1,0,0,0,0,"MCCLOUD RIVER REDBAND TROUT","SW"
"70","Oncorhynchus mykiss ssp.","doc 1 CCA","California Department of Fish and Game",0,0,0,0,0,0,0,1,0,0,0,"MCCLOUD RIVER REDBAND TROUT","SW"
"71","Oncorhynchus mykiss ssp.","doc 1 CCA","Hearest Corporation",0,0,0,0,0,0,0,0,0,0,0,"MCCLOUD RIVER REDBAND TROUT","C"
"72","Oncorhynchus mykiss ssp.","doc 1 CCA","John Hancock Mutual Life Insurace Company",0,0,0,0,0,0,0,0,0,0,0,"MCCLOUD RIVER REDBAND TROUT","C"
"73","Oncorhynchus mykiss ssp.","doc 1 CCA","Private landowners",1,0,0,0,0,1,0,0,0,0,1,"MCCLOUD RIVER REDBAND TROUT","P"
"74","Oncorhynchus mykiss ssp.","doc 1 CCA","Private Landowners",0,0,0,0,0,1,0,0,0,0,0,"MCCLOUD RIVER REDBAND TROUT","P"
"75","Oncorhynchus mykiss ssp.","doc 1 CCA","Sierra Pacific Industries",0,0,0,0,0,0,0,0,0,0,0,"MCCLOUD RIVER REDBAND TROUT","C"
"76","Oncorhynchus mykiss ssp.","doc 1 CCA","Siskiyou County Board of Supervisors",0,0,0,0,0,0,0,0,0,0,0,"MCCLOUD RIVER REDBAND TROUT","SG"
"77","Oncorhynchus mykiss ssp.","doc 1 CCA","USFS Shasta Trinity National Forest",1,0,0,0,0,1,0,0,0,0,1,"MCCLOUD RIVER REDBAND TROUT","USFS"
"78","Oncorhynchus mykiss ssp.","doc 1 CCA","USFWS Sacramento Fish and Wildlife office",0,0,0,0,0,0,0,0,0,0,0,"MCCLOUD RIVER REDBAND TROUT","USFWS"
"79","Opuntia X multigeniculata","doc 1 HCP","BLM",1,1,0,0,0,1,0,0,0,0,0,"BLUE DIAMOND CHOLLA","BLM"
"80","Pediocactus paradinei","doc 1","BLM",1,0,0,0,0,0,0,0,0,0,0,"KAIBAB PLAINS CACTUS","BLM"
"81","Pediocactus paradinei","doc 1","USFS",1,0,0,0,0,0,1,0,0,0,0,"KAIBAB PLAINS CACTUS","USFS"
"82","Pediocactus paradinei","doc 1","USFWS",1,0,0,0,0,0,0,0,0,1,1,"KAIBAB PLAINS CACTUS","USFWS"
"83","Penstemon scariosus albifluvis","doc 1 Conservation agreement","BLM Vernal Field Office",1,0,0,0,0,1,0,0,0,1,0,"WHITE RIVER BEARDTONGUE","BLM"
"84","Penstemon scariosus albifluvis","doc 1 Conservation agreement","BLM White River Field Office",1,0,0,0,0,1,0,0,0,1,0,"WHITE RIVER BEARDTONGUE","BLM"
"85","Penstemon scariosus albifluvis","doc 1 Conservation agreement","Uintah County",1,0,0,0,0,1,0,0,0,1,0,"WHITE RIVER BEARDTONGUE","SG"
"86","Penstemon scariosus albifluvis","doc 1 Conservation agreement","USFWS Utah Ecological Services Field Office",1,0,0,0,0,1,0,0,0,1,0,"WHITE RIVER BEARDTONGUE","USFWS"
"87","Penstemon scariosus albifluvis","doc 1 Conservation agreement","USFWS Western Colorado Field Office",1,0,0,0,0,1,0,0,0,1,0,"WHITE RIVER BEARDTONGUE","USFWS"
"88","Penstemon scariosus albifluvis","doc 1 Conservation agreement","Utah Division of Wildlife Resources",1,0,0,0,0,1,0,0,0,1,0,"WHITE RIVER BEARDTONGUE","SW"
"89","Penstemon scariosus albifluvis","doc 1 Conservation agreement","Utah Governor Public Lands Policy Coordination Office",1,0,0,0,0,1,0,0,0,1,0,"WHITE RIVER BEARDTONGUE","SG"
"90","Penstemon scariosus albifluvis","doc 1 Conservation agreement","Utah School and Institutional Trust Lands Administration",1,0,0,0,0,1,0,0,0,1,0,"WHITE RIVER BEARDTONGUE","SL"
"91","Phacelia stellaris","doc 1 CCA","California State Parks",1,1,0,0,0,0,0,1,1,1,0,"BRAND'S PHACELIA","SL"
"92","Phacelia stellaris","doc 1 CCA","US Customs and Border Protection",1,1,0,0,0,0,0,1,0,1,0,"BRAND'S PHACELIA","FO"
"93","Phacelia stellaris","doc 1 CCA","US Marine Corps",1,0,0,0,0,0,0,1,0,0,0,"BRAND'S PHACELIA","M"
"94","Phacelia stellaris","doc 1 CCA","US Navy",1,1,0,0,0,0,1,1,0,1,0,"BRAND'S PHACELIA","M"
"95","Phacelia stellaris","doc 1 CCA","USFWS Carlsbad Fish and Wildlife Office",0,0,0,0,0,0,0,0,0,0,0,"BRAND'S PHACELIA","USFWS"
"96","Phrynosoma mcallii","doc 1","Anza-Borrego Desert State Park",1,0,0,1,0,1,1,1,1,1,1,"FLAT-TAILED HORNED LIZARD","SL"
"97","Phrynosoma mcallii","doc 1","Arizona Game and Fish Department",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","SW"
"98","Phrynosoma mcallii","doc 1","BLM",1,0,0,1,0,1,1,1,1,1,1,"FLAT-TAILED HORNED LIZARD","BLM"
"99","Phrynosoma mcallii","doc 1","BLM El Centro",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","BLM"
"100","Phrynosoma mcallii","doc 1","BLM Palm Springs",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","BLM"
"101","Phrynosoma mcallii","doc 1","BLM Yuma",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","BLM"
"102","Phrynosoma mcallii","doc 1","Bureau of Reclamation",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","FO"
"103","Phrynosoma mcallii","doc 1","California Department of Fish and Game",1,0,0,1,0,1,1,1,1,1,1,"FLAT-TAILED HORNED LIZARD","SW"
"104","Phrynosoma mcallii","doc 1","California Department of Parks and Recreation",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","SW"
"105","Phrynosoma mcallii","doc 1","California State Parks",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","SL"
"106","Phrynosoma mcallii","doc 1","Ocotillo Wells State Vehicular Recreation Area",1,0,0,1,0,1,1,1,1,1,1,"FLAT-TAILED HORNED LIZARD","SL"
"107","Phrynosoma mcallii","doc 1","U.S. Marine Corps",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","M"
"108","Phrynosoma mcallii","doc 1","U.S. Navy",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","M"
"109","Phrynosoma mcallii","doc 1","US Bureau of Reclamation Yuma",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","FO"
"110","Phrynosoma mcallii","doc 1","US Marine Corps Air Station Yuma",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","M"
"111","Phrynosoma mcallii","doc 1","US Naval Air Facility El Centro",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","M"
"112","Phrynosoma mcallii","doc 1","US Navy SW Division",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","M"
"113","Phrynosoma mcallii","doc 1","USFWS",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","USFWS"
"114","Phrynosoma mcallii","doc 1","USFWS Carlsbad",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","USFWS"
"115","Phrynosoma mcallii","doc 1","USFWS Phoenix",1,0,0,1,0,1,1,1,1,1,0,"FLAT-TAILED HORNED LIZARD","USFWS"
"116","Potentilla basaltica","doc 1","BLM",1,0,0,0,0,1,0,1,1,0,0,"SOLDIER MEADOW CINQUEFOIL","BLM"
"117","Potentilla basaltica","doc 1","Nevada Division of Wildlife",1,0,0,0,0,0,0,1,0,0,0,"SOLDIER MEADOW CINQUEFOIL","SW"
"118","Potentilla basaltica","doc 1","USFWS",1,1,0,0,0,0,0,1,1,0,0,"SOLDIER MEADOW CINQUEFOIL","USFWS"
"119","Pseudanophthalmus catorycetes","doc 1","Southern Conservation Corporation",1,0,0,0,0,1,0,0,0,1,0,"Lesser Adams cave bettle ","N"
"120","Pseudanophthalmus catorycetes","doc 1","USFWS",0,0,0,0,0,0,0,0,0,1,0,"Lesser Adams cave bettle ","USFWS"
"121","Pseudanophthalmus inexpectatus","doc 1 - info taken from federal registry","NPS",1,0,0,0,0,1,0,0,0,0,0,"SURPRISING CAVE BEETLE","FO"
"122","Pseudanophthalmus inexpectatus","doc 1 - info taken from federal registry","USFWS",1,0,0,0,0,1,0,0,0,0,0,"SURPRISING CAVE BEETLE","USFWS"
"123","Pseudanophthalmus pholeter","doc 1","Southern Conservation Corporation",1,0,0,0,0,1,0,0,0,1,0,"GREATER ADAMS CAVE BEETLE","N"
"124","Pseudanophthalmus pholeter","doc 1","USFWS",0,0,0,0,0,0,0,0,0,1,0,"GREATER ADAMS CAVE BEETLE","USFWS"
"125","Pyrgulopsis morrisoni","doc 1 CCAA","Arizona Game and Fish Department",1,1,0,0,0,0,0,1,0,1,0,"PAGE SPRINGSNAIL","SW"
"126","Pyrgulopsis morrisoni","doc 1 CCAA","unspecified landowner",1,1,0,0,0,0,0,1,0,0,0,"PAGE SPRINGSNAIL","P"
