"","Scientific name","Common name","Conservation Plan_1","type of agreements (source of information)","Who the partners are","number of conservation agreements","total number of partners for species"
"31","Symphyotrichum georgianum","GEORGIA ASTER",NA,"CCA","USFWS, Clemson University, Georgia Department of Natural Resources, Georgia Department of Transportation, Georgia Power, Mecklenburg County Park and Recreation North Carolina, NPS, North Carolina Department of Agriculture & Consumer Services Plant Conservation Program, USFS",1,9
"32","Astragalus anserinus","GOOSE CREEK MILKVETCH",NA,"Conservation Agreement","BLM, USFWS",1,2
"33","Penstemon grahamii","GRAHAM BEARDTONGUE",NA,"CCA","Uintah County, Rio Blanco County, Utah School and Institutional Trust Lands Administration, Utah Governor’s Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS",1,8
"34","Pseudanophthalmus pholeter","GREATER ADAMS CAVE BEETLE",NA,"CCAA","Southern conservation corporation,  USFWS",1,2
"35","Centrocercus urophasianus","GREATER SAGE-GROUSE - BI-STATE POPULATION","HCP/CCA","None",NA,0,0
"36","Centrocercus urophasianus","GREATER SAGE-GROUSE - Columbia basin DPS","CCA/HCP","None",NA,0,0
"37","Centrocercus urophasianus","GREATER SAGE-GROUSE -Wherever found","CCA/HCP","None",NA,0,0
"38","Horkelia hendersonii","HENDERSON'S HORKELIA",NA,"CCA","USFS,  USFWS",1,2
"39","Cicindelidia highlandensis","HIGHLANDS TIGER BEETLE",NA,"None",NA,0,0
"40","Pseudanophthalmus holsingeri","HOLSINGER'S CAVE BEETLE",NA,"None",NA,0,0
"41","Pediocactus paradinei","KAIBAB PLAINS CACTUS",NA,"CCA","USFWS, USFS, BLM",1,3
"42","Stygobromus kenki","KENK'S AMPHIPOD",NA,"None",NA,0,0
"43","Iotichthys phlegethontis","LEAST CHUB",NA,"CCA","Utah Department of Natural Resources,  BLM, Bureau of Reclamation, Utah Reclamation Mitigation and Conservation Commission, Confederated Tribes of the Goshute Reservation, Central Utah Water Conservancy District, Southern Nevada Water Authority",1,8
"44","Pseudanophthalmus catorycetes","LESSER ADAMS CAVE BEETLE",NA,"CCA","Southern conservation corporation,  USFWS",1,2
"45","Polites mardon","MARDON SKIPPER",NA,"None",NA,0,0
"46","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT",NA,"CCA","USFWS,  USFS,  California Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors",1,8
"47","Clarkia lingulata","MERCED CLARKIA",NA,"MOU","USFS, BLM, California Department of Transportation (caltrans), California Department of Fish and Wildlife, Pacific Gas and Electric",1,5
"48","Cordylanthus nidularius","MT. DIABLO BIRDÕS-BEAK",NA,"None",NA,0,0
"49","Ambrysus funebris","NEVARES SPRING NAUCORID BUG (=FURNACE CREEK)",NA,"Furnace Creek Springs Restoration and Adaptive Management Plan, Death Valley National Park, California","Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, U.S. National Park Service Death Valley National Park",1,3
