Scientific name,Common name,Notice of candidate status,agreement before Notice of candidate status? (Y/N),Year removed,agreement before listing? (Y/N) **unsure which is listing date (this comepares to column G),Year of agreement doc 1,Year of agreement doc 2,Year of agreement doc 3,Taxa,,note redundancy,Who the partners are,agreement no,partner no total
Polyctenium williamsiae,COMBLEAF,"12/30/1982 (NOR)   47 FR 58454 (originally listed as one subspecies, subsequently divided into 2 DPSs)",,1996,,,,,Flowering Plant,,,N/A,0,0
Nerodia erythrogaster neglecta,COPPERBELLY WATER SNAKE,"05/22/1984 
49 FR 21664",,1997,?,1997,2008,,Mammal,,"USFWS, Illinois Department of Natural Resources, Indiana Department of Natural Resources","Indiana Coal Council, Indiana Department of Natural Resources, USFWS, Kentucky Department of Fish and Wildlife Resources, Kentucky Coal Association, Kentucky Coal Country Association, Kentucky Farm Bureau, Kentucky Natural Resources and Environmental Cabinet, Western Kentucky Coal Association;  Office of Surface Mining reclamation and Enforcement",2,12
Cicindela albissima,CORAL PINK SAND DUNES TIGER BEETLE,11/21/1991 Candidate Notice of Review (CNOR) (56 FR 58829),,2013,,date?,,,Mammal,,,"Utah Division of Parks and Recreation, BLM, FWS, Kane County",1,4
Gila bicolor vaccaceps,COW HEAD TUI CHUB,7/1/1975        40 FR 27924,,2006,,doc isn't cca,,,Flowering Plant,,,"Cow Head Slough, California reach of Barrel Creek, California and Modoc County Cattlemen’s Associations, California Farm Bureau Federation, BLM, California Department of Fish and Game (CDFG).",1,8
Downingia concolor brevior,CUYAMAC LAKE DOWNINGIA,"12/15/1980    45 FR 82480 (also was in the 7/1/1975 NOR, 40 FR 27824, ""Smithsonian Report"")",,1997,Y,1994,,,Fish,,,"California Department of Fish and Wildlife, Natural Heritage Division Endangered plant program",1,1
Cymopterus deserticola,DESERT CYMOPTERUS,37194,,1996,N,2015,2005,,Fish,,,"Adelanto, Barstow, California City, Hesperia, Lancaster, Palmdale, Ridgecrest, Twentynine Palms, and Victorville,  town of Apple Valley, town of  Yucca Valley, Counties of Inyo, Counties of Kern, Counties of Los Angeles, Counties of San Bernardino, Indian Wells Valley Water District, California Department of Fish and Game, California Department of Transportation BLM, USFWS, US Air Force
",2,21
Sceloporus arenicolus,DUNES SAGEBRUSH LIZARD,Not a candidate,,2012,"Y, ?",2008,Feburary 2012,,Flowering Plant,,USFWS ,"USFWS, BLM, Center of Excellence for Hazardous Materials Management, Natural Resources Conservation Service (NRCS), Texas A&M University, Texas Comptroller of Public Accounts, Texas Interagency Task Force on Economic Growth and Endangered Species, Texas Department of Agriculture, Texas Parks and Wildlife Department, Railroad Commission of Texas, University of Texas System - University Lands, Texas Farm Bureau, Texas Oil & Gas Association, Texas Royalty Council, Texas & Southwestern Cattle Raisers Association, Texas Wildlife Association, Texas Association of Business",2,18
Oncorhynchus mykiss aquilarum,EAGLE LAKE TROUT ,37420,,2016,Y,2015,,,Flowering Plant,,,"California Department of Fish and Wildlife, USFS, Eagle Lake Ranger District, USFWS",1,4
Pyrgulopsis notidicola,ELONGATE MUD MEADOW SPRINGSNAIL,12/30/1982  (vertebrate NOR) 47 FR 58454,,2012,Y,2011,,,Flowering Plant,,,"Nevada Department of Wildlife, National Park Service (NPS) , BLM, USFWS, Nevada Natural Heritage Program (NNHP), The Nature Conservancy, and Desert Research Institute (DRI).",1,7
Phrynosoma mcallii,FLAT-TAILED HORNED LIZARD,12/30/1982      47 FR 58453,,1997,N,2003 (revision),2005,,Fish,,BLM and USFWS (see offices),"Anza-Borrego State Park, Arizona Game and Fish, California Department of Fish and Game, California State Parks, Ocotillo Wells, BLM, U.S. Bureau of Reclamation, USFWS, U.S. Marine Corps Air Station, U.S. Naval Air Facility, U.S. Navy SW Division, The Arizona Department of Water Resources, Arizona Electric Power Cooperative Inc., Arizona Game and Fish Commission, Arizona Power Authority, Central Arizona Water Conservation District, Cibola Valley Irrigation and Drainage District, City of Bullhead City, City of Lake Havasu City, City of Mesa, City of Somerton, City of Yuma, Electrical District No. 3 Pinal County Arizona, Golden Shores Water Conservation District, Mohave County Water Authority, Mohave Valley Irrigation and Drainage District, Mohave Water Conservation District, North Gila Valley Irrigation and Drainage District, Salt River Project Agricultural Improvement and Power District, Town of Fredonia, Town of Thatcher, Town of Wickenburg, Unit “B” Irrigation and Drainage District, Wellton-Mohawk Irrigation and Drainage District, Yuma County Water Users’ Association; Yuma Irrigation District, Yuma Mesa Irrigation and Drainage District, City of Needles, Coachella Valley Water District, Colorado River Board of California, Imperial Irrigation District, Los Angeles Department of Water and Power, Palo Verde Irrigation District, San Diego County Water Authority, Southern California Edison Company, the Southern California Public Power Authority, Bard Water District, Metropolitan Water District of Southern California, National Park Service (NPS), Bureau of Indian Affairs, Western Area Power Administration (Western), Colorado River Commission of Nevada, Nevada Department of Wildlife, Basic Water Company, Southern Nevada Water Authority",2,53
