"","scientific_name","common_name","new_notes_on_changes_being_made","conservation_plan_1","conservation_plan_2","conservation_plan_3","sum_part","all_partner_names","coop","total"
"26","Penstemon grahamii","GRAHAM BEARDTONGUE","Salafsky information not utilized","None",NA,NA,"6_NA_NA","Uintah County, Rio Blanco County, Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS","0",7
"27","Pseudanophthalmus pholeter","GREATER ADAMS CAVE BEETLE",NA,"CCA","assuran",NA,"2_NA_NA","Southern conservation corporation,  USFWS","0",2
"28","Horkelia hendersonii","HENDERSON'S HORKELIA",NA,"CCA",NA,NA,"2+_NA_NA","USFS, USFWS","0",2
"29","Pediocactus paradinei","KAIBAB PLAINS CACTUS","revised doc???","CCA",NA,NA,"3_NA_NA","USFS, BLM, USFWS","0",3
"30","Iotichthys phlegethontis","LEAST CHUB",NA,"CCA",NA,NA,"8_NA_NA","Utah Department of Natural Resources,  BLM, Bureau of Reclamation, Utah Reclamation Mitigation and Conservation Commission, Confederated Tribes of the Goshute Reservation, Central Utah Water Conservancy District, Southern Nevada Water Authority","0",7
"31","Pseudanophthalmus catorycetes","LESSER ADAMS CAVE BEETLE",NA,"CCA","assuran",NA,"2_NA_NA","Southern conservation corporation,  USFWS","0",2
"32","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT",NA,"CCA",NA,NA,"8_NA_NA","USFWS,  USFS,  California Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors","0",8
"33","Clarkia lingulata","MERCED CLARKIA",NA,"HCP",NA,NA,"NA_NA_NA","USFS, BLM, California Department of Transportation (caltrans), California Department of Fish and Wildlife, Pacific Gas and Electric","0",5
"34","Ambrysus funebris","NEVARES SPRING NAUCORID BUG (=FURNACE CREEK)",NA,"None",NA,NA,"3_NA_NA","Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, NPS","0",3
"35","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL",NA,"assuran",NA,NA,"51?_2?_2?","USGS, Natural Resources Conservation Service, USFWS, Mashpee Wampanoag Tribe, Lyme Land Conservation Trust, American Forest Foundation, Woodcock Limited, WCS Queens Zoo, Wells National Esturarine Research Reserve, Roger Williams Park Zoo, Audubon Connecticut, Connecticut Audubon Society, Open Space Institute, Audubon New York, Quail Forever, Pheasants Forever, Doris Duke Charitable Foundation, Wildlife Conservation Society, Amrican Bird Conservancy, Quality Deer Management Association, Sustainable Forestry Initiative, White Memorial Foundation, National Fish and Wildlife Foundation, Ruffed Grouse Society/American Woodcock Society, National Wild Turkey Federation, Wildlife Management Institute, New Engalnd Cottontail Conservation Initiative, Northeast Forest and Fire Management, Lyme Timber Company, Monterey Preservation Land Trust, Narrow River Land Trust, Nantucket Conservation Foundation, Scarborough Land Trust, Avalonia Land Conservancy, Orenda Wildlife Land Trust, Trustees of Reservations, Berkshire Natural Resources Council, York Land Trust, Becket Land Trust, Trust for Public Land, Massachusetts National Guard, New York Division of Fish Wildlife and Marine Resources, Northeast Association of Fish and Wildlife Agencies, Rhode Island Division of Fish and Wildlife, Connecticute Department of Energy and Environmental Protection, Massachusetts Division of Fisheries and Wildlife, New Hampshire Fish and Game Department, Maine Department of Inland Fisheries and Wildlife, University of Rhode Island College of Envionment and Life Sciences, University of New Hampshire, University of New Hampshire Cooperative Extenson, New Hampshire Fish and Game Department","0",52
"36","Hazardia orcuttii","ORCUTTS'S HAZARDIA",NA,"HCP",NA,NA,"4_4_NA","City of NCCP, USFWS, California Department of Fish and Game, California Resources Agency","0",4
"37","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL",NA,NA,NA,NA,"2_NA_NA","Arizona Game and Fish Department, USFWS","0",2
"38","Lithobates onca","RELICT LEOPARD FROG",NA,"HCP","CCA","assuran","2+?_NA_NA","USFWS,  Nevada Department of Wildlife","0",2
"39","Oncorhynchus clarkii virginalis","RIO GRANDE CUTTHROAT TROUT",NA,"None",NA,NA,"4_10_NA","Colorado Parks and Wildlife, New Mexico Department of Game and Fish, USFS, USFWS, Mescalero Apache Nation, Jicarilla Apache Nation, Taos Pueblo, NPS, BLM,  Trout Unlimited, Vermejo Park Ranch, Colorado Division of Parks and Wildlife","0",12
"40","Euphydryas anicia cloudcrofti","SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY",NA,"CCA",NA,NA,"4_5_NA","Otero County, USFS, USFWS, Village of Cloudcroft","0",4
"41","Dudleya blochmaniae brevifolia","SHORT-LEAVED DUDLEYA","New information added - doc three only Partner counts only no actions","HCP",NA,NA,"(note combines two areas and this species is only in the one, unsure how to count) --> doc is in wrong year anyway_? Use which doc??_3","California Department of Fish and Game, San Diego Gas and Electric Company, USFWS","USFS, Nevada Department of Wildlife",3
"42","Moxostoma sp 2","SICKLEFIN REDHORSE",NA,NA,NA,NA,"6??_NA_NA","North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, Georgia Department of Natural Resources, USFWS","0",6
"43","Lepidium papilliferum","SLICKSPOT PEPPERGRASS",NA,NA,NA,NA,"6_8_NA","Office of Species Conservation,  Idaho Department of Fish and Game,  Idaho Department of Lands,  Idaho Army National Guard,  Nongovernmental Cooperator Representative,  Nongovernmental Cooperator Representative, BLM, US Air Force","0",8
"44","Potentilla basaltica","SOLDIER MEADOW CINQUEFOIL",NA,"None",NA,NA,"3+ private_NA_NA","BLM,  Nevada Division of Wildlife, USFWS","0",3
"45","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL",NA,"assuran",NA,NA,"3+ private_4_NA","Idaho Department of Fish and Game, Idaho Governor's Office of Species Conservation, USFWS, Soulen Livestock Company Inc. (Soulen Livestock)","North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority,  Georgia Department of Natural Resources, USFWS",4
"46","Pseudanophthalmus inexpectatus","SURPRISING CAVE BEETLE",NA,"CCA",NA,NA,"2_NA_NA","USFWS, NPS","0",2
"47","Rorippa subumbellata","TAHOE YELLOW CRESS",NA,"CCA",NA,NA,"13_13_NA","California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation, California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners's Association, Tahoe Regional Planning Agency, USFWS, USFS","0",13
"48","Calochortus umpquaensis","UMPQUA MARIPOSA LILY",NA,"CCA",NA,NA,"3_NA_NA","USDA, USFWS, BLM","0",3
"49","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE",NA,"CCA",NA,NA,"4+_NA_NA","USFWS,  Montana State University,  Montana Fish Wildlife and Parks","0",3
"50","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL",NA,"HCP","assuran",NA,"2+_5_NA","Foster Creek Conservation District, Threemile Canyon Farms, The Nature Conservancy,  General Electric, USFWS","0",5
"51","Nysius wekiuicola","WEKIU BUG","Have added information","None",NA,NA,"1_NA_NA","University of Hawaii","0",1
"52","Sonorella macrophallus","WET CANYON TALUSSNAIL",NA,NA,NA,NA,"3_NA_NA","USFS,  USFWS,  Arizona Game and Fish Department","0",3
"53","Penstemon scariosus albifluvis","WHITE RIVER BEARDTONGUE",NA,"None",NA,NA,"6_NA_NA","Uintah County, Rio Blanco County,  Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS","added the 1 cooperator to total count",7
"54","Aliciella caespitosa","WONDERLAND ALICE-FLOWER",NA,"CCA",NA,NA,"4_NA_NA","USFS, NPS,  Utah State Office, USFWS, BLM","0",5
"55","Solidago plumosa","YADKIN RIVER GOLDENROD",NA,NA,NA,NA,"2 partners +1 collaborator_NA_NA","Alcoa Power Generating Inc, USFWS","0",2
