"","partner.in.agreement","Scientific.name","Common.name","type_of_org","L_W_Man","Sp_Man","Awareness","law","livelihood_econ","ConD&P","Legal","R&M","Edu","IDevelopment","funding"
"120","Montana Fish Wildlife and Parks","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","SB",1,0,0,0,0,1,1,0,0,1,1
"121","Montana Fish Wildlife and Parks","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","SB",0,0,0,0,0,0,0,0,0,0,1
"122","Kane County","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","SG",0,0,0,0,0,0,0,0,0,0,0
"123","Siskiyou County Board of Supervisors","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","SG",0,0,0,0,0,0,0,0,0,0,0
"124","Idaho Governor's Office of Species Conservation","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL","SG",0,1,0,0,0,1,0,0,0,0,1
"125","California State Parks","Phacelia stellaris","BRAND'S PHACELIA","SL",1,1,0,0,0,0,0,1,1,1,0
"126","Utah Department of Parks and Recreation ","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","SL",0,0,0,0,0,0,0,0,0,0,0
"127","California Department of Parks and Recreation","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","SL",0,0,0,0,0,0,0,0,0,0,0
"128","California Department of Fish and Wildlife","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT ","SW",1,1,0,0,0,0,0,1,0,0,0
"129","Arizona Game and Fish Department","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","SW",0,0,0,0,0,0,0,0,0,0,0
"130","California Department of Fish and Game","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","SW",0,0,0,0,0,0,0,0,0,0,0
"131","Utah Division of Wildlife Resources ","Iotichthys phlegethontis","LEAST CHUB","SW",0,0,0,1,0,0,0,1,0,1,0
"132","California Department of Fish and Game","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","SW",0,0,0,0,0,0,0,1,0,0,0
"133","Maine Department of Inland Fisheries and Wildlife","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","SW",1,0,1,0,0,1,1,0,0,1,0
"134","New Hampshire Fish and Game","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","SW",1,0,1,0,0,1,1,0,0,1,0
"135","Arizona Game and Fish Department","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL","SW",1,1,0,0,0,0,0,0,0,0,0
"136","Nevada Department of Wildlife","Lithobates onca","RELICT LEOPARD FROG","SW",1,1,0,0,1,1,1,1,1,1,1
"137","Idaho Department of Fish and Game","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL","SW",0,1,0,0,0,1,1,1,0,0,1
"138","Oregon Department of Fish and Wildlife","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","SW",1,0,0,0,0,0,1,1,0,1,0
"139","USFS","Cimicifuga arizonica","ARIZONA BUGBANE","USFS",1,1,0,0,0,1,0,1,0,1,0
"140","USFS","Lupinus aridus ssp. ashlandensis","ASHLAND LUPINE","USFS",1,1,0,0,0,0,0,1,0,0,0
"141","USFS DeSoto National Forest","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH","USFS",1,0,0,0,0,0,0,0,0,0,0
"142","USFS","Castilleja christii","CHRISTÕS PAINTBRUSH","USFS",1,0,1,0,0,1,1,1,0,1,1
"143","USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT ","USFS",1,0,0,0,0,0,0,0,0,0,0
"144","USFS Southwestern Region","Allium gooddingii","GOODING'S ONION","USFS",1,1,0,0,0,0,1,1,0,1,0
"145","USFS","Horkelia hendersonii","HENDERSON'S HORKELIA","USFS",1,1,0,0,0,0,0,0,0,0,0
"146","USFS","Pediocactus paradinei","KAIBAB PLAINS CACTUS","USFS",1,0,0,0,0,0,1,0,0,0,0
"147","USFS Shasta Trinity National Forest","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","USFS",1,0,0,0,0,1,0,0,0,0,0
"148","USFS Fishlake National Forest","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","USFS",0,0,0,0,0,1,0,1,1,0,0
"149","USFWS","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","USFWS",0,0,0,0,0,1,1,1,0,1,0
"150","USFWS","Cimicifuga arizonica","ARIZONA BUGBANE","USFWS",0,0,0,0,0,0,1,0,1,0,0
"151","USFWS","Lupinus aridus ssp. ashlandensis","ASHLAND LUPINE","USFWS",0,0,0,0,0,0,0,1,0,1,1
"152","USFWS Carlsbad Fish and Wildlife Office","Phacelia stellaris","BRAND'S PHACELIA","USFWS",0,0,0,0,0,0,0,0,0,0,0
"153","USFWS Southeast Region","Fallicambarus gordoni","CAMP SHELBY BURROWING CRAYFISH","USFWS",0,0,0,0,0,0,0,0,0,0,0
"154","USFWS","Castilleja christii","CHRISTÕS PAINTBRUSH","USFWS",1,1,1,0,0,1,1,1,1,1,0
"155","USFWS Utah Field Office","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","USFWS",0,0,0,0,0,0,0,0,0,0,0
"156","USFWS","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","USFWS",0,0,0,0,0,0,0,0,0,0,0
"157","USFWS Southwest Region","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","USFWS",0,0,0,0,0,0,1,0,0,1,1
"158","USFWS Pacific Southwest Region Sacramento Office","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT ","USFWS",0,0,0,0,0,0,0,0,0,0,0
"159","USFWS","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","USFWS",0,0,0,0,0,0,0,0,0,0,0
"160","USFWS Southwest Region","Allium gooddingii","GOODING'S ONION","USFWS",0,0,0,0,0,0,1,0,1,1,0
"161","USFWS","Astragalus anserinus","GOOSE CREEK MILKVETCH","USFWS",0,0,0,0,0,0,0,0,0,0,1
"162","USFWS","Pseudanophthalmus pholeter","GREATER ADAMS CAVE BEETLE","USFWS",0,0,0,0,0,0,0,0,0,1,0
"163","USFWS","Horkelia hendersonii","HENDERSON'S HORKELIA","USFWS",0,0,0,0,0,0,0,0,1,1,1
"164","USFWS","Pediocactus paradinei","KAIBAB PLAINS CACTUS","USFWS",1,0,0,0,0,0,0,0,0,1,1
"165","USFWS","Iotichthys phlegethontis","LEAST CHUB","USFWS",0,0,0,0,0,0,1,0,0,1,1
"166","USFWS","Pseudanophthalmus catorycetes","Lesser Adams cave bettle ","USFWS",0,0,0,0,0,0,0,0,0,1,0
"167","USFWS Sacramento Fish and Wildlife office","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","USFWS",0,0,0,0,0,0,0,0,0,0,0
"168","USFWS","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","USFWS",0,0,0,0,0,0,1,0,0,1,0
"169","USFWS","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","USFWS",0,0,0,0,0,0,1,0,0,1,0
"170","USFWS","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL","USFWS",0,0,0,0,0,0,0,0,0,0,0
"171","USFWS Southern Nevada Fish and Wildlife Office","Lithobates onca","RELICT LEOPARD FROG","USFWS",0,0,0,0,1,0,1,0,0,1,1
"172","USFWS Albuquerque New Mexico Ecological Services Field Office","Oncorhynchus clarkii virginalis","RIO GRANDE CUTTHROAT TROUT","USFWS",1,0,0,0,0,0,0,0,0,1,0
"173","USFWS","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL","USFWS",0,1,0,0,0,1,1,1,0,0,1
"174","USFWS","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","USFWS",0,0,0,0,0,0,1,0,0,0,0
"175","USFWS","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","USFWS",0,0,0,0,0,0,1,0,1,0,0
"176","Portland General Electric ","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","C",1,0,0,0,0,1,0,1,0,1,0
"177","Threemile Canyon Farms","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","C",1,0,0,0,0,1,0,1,0,1,1
"178","EDF","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","N",0,0,0,0,0,0,0,0,0,0,0
"179","EDF","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","N",0,0,0,0,0,0,0,0,0,0,0
"180","New Mexico Department of Game and Fish","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","SW",0,0,0,0,0,0,0,0,0,0,0
"182","Oregon Natural Heritage Program ","Horkelia hendersonii","HENDERSON'S HORKELIA","R",0,0,0,0,0,0,0,0,0,0,0
"184","Duke Energy Carolinas ","Moxostoma","SICKLEFIN REDHORSE","C",1,1,0,0,0,1,0,1,0,1,1
