"","partner.in.agreement","Scientific.name","Common.name","agreement.number","Programatic..Y.N.","type.of.partners","doc.link","notes.on.actions.taken..from.notes.tab.","Don.t.know.how.to.categorize.action...dump.text.here","X1..Land.Water.Management","X2..Species.Management","X3..Awareness.raising","X4..law.enforcement.and.prosecution","X5..livelihood..economic.and.moral.incentrives","X6..Conservation.Design.and.Planning","X7..Legal.and.Policy.frameworks","X8..Research.and.monitoring","X9..Education.and.Training","X10..Institutional.Development","funding"
"151","Duke Energy Carolinas ","Moxostoma","SICKLEFIN REDHORSE","doc 1 CCA","N","","","tense is werid - not something that partners are agreeing to do, but a combo of done and doing --> could pick through for cooperation between partners","","1","1","0","0","0","1","0","1","0","1","1"
"177","Duties and Responsibilities of the FCCD Board of Supervisors","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","?","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"178","Duties and Responsibilities of the MSGCP Administrator","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","?","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"155","Eastern Band of Cherokee Indians","Moxostoma","SICKLEFIN REDHORSE","doc 1 CCA","N","","","","","0","1","0","0","0","0","0","1","0","0","0"
"128","EDF","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","doc 2 CCAA NH","Y","X","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_873.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"134","EDF","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","doc 3 CCAA ME","Y","X","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1275.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"183","Farm Service Agency ","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","G","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf"," ","","0","0","0","0","0","0","0","0","0","1","0"
"156","Georgia Department of Natural Resources","Moxostoma","SICKLEFIN REDHORSE","doc 1 CCA","N","",""," ","","0","0","0","0","0","0","0","1","0","1","0"
"121","Hearest Corporation","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","S","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"165","Idaho Department of Fish and Game","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL","doc 1 CCAA","Y","S","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_302.pdf","Do we care about permit hold for agreement? ","Prepare annual reports in accordance with the Agreement and the site-specific plans.","0","1","0","0","0","1","1","1","0","0","1"
